ds,y
8/11/2025,335.47
8/11/2025,113.49
8/11/2025,1432.47
8/11/2025,5123
8/11/2025,13.02
8/11/2025,852.45
8/11/2025,129.27
8/11/2025,31.9
8/8/2025,3496.45
8/7/2025,154.31
8/7/2025,24.66
8/7/2025,151.57
8/7/2025,2718.76
8/7/2025,276.72
8/7/2025,258.64
8/7/2025,2138
8/7/2025,37.04
8/7/2025,248.99
8/7/2025,92.5
8/7/2025,91.95
8/7/2025,1255104
8/7/2025,10561.87
8/7/2025,343.57
8/7/2025,2807.75
8/7/2025,404.39
8/7/2025,201.32
8/7/2025,216.72
8/7/2025,5861.31
8/7/2025,1402.23
8/6/2025,11.9
8/6/2025,139.16
8/6/2025,2616.77
8/6/2025,8361.65
8/6/2025,1958.77
8/6/2025,188.49
8/6/2025,155.2
8/6/2025,147.26
8/6/2025,8.43
8/6/2025,226.24
8/6/2025,28
8/6/2025,208.88
8/6/2025,208.38
8/6/2025,37.86
8/6/2025,267.74
8/6/2025,192.62
8/6/2025,287.47
8/6/2025,1278.18
8/6/2025,748.88
8/5/2025,19.95
8/5/2025,69.21
8/5/2025,1823.6
8/5/2025,336.59
8/5/2025,87.4
8/5/2025,39.79
8/5/2025,103.16
8/5/2025,441.74
8/5/2025,66118
8/5/2025,537.84
8/5/2025,415.29
8/5/2025,1288.35
8/5/2025,66.79
8/5/2025,138.65
8/5/2025,1399.5
8/5/2025,27.11
8/4/2025,81194
8/4/2025,11892.62
8/4/2025,18181
8/1/2025,148.55
8/1/2025,991.3
8/1/2025,429.92
8/1/2025,133.32
8/1/2025,315.08
8/1/2025,1312.99
8/1/2025,2319.41
8/1/2025,43.13
8/1/2025,42167
8/1/2025,25591.57
8/1/2025,198.13
8/1/2025,245.51
8/1/2025,786.11
8/1/2025,525.64
7/31/2025,644.1
7/31/2025,511.82
7/31/2025,89.59
7/31/2025,262.66
7/31/2025,237.56
7/31/2025,59.33
7/31/2025,237.56
7/31/2025,134.24
7/31/2025,197.05
7/31/2025,2818.36
7/31/2025,156
7/31/2025,197.67
7/31/2025,1113.84
